,BLA,BLP,MABH,BN,FAR,BD,HBN,AHBH,ABH,DHBH,ABF,CL,RBS,HBFR,BL,LU,SBLU,SLR
796,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,2,39,4
797,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,36,11
798,2,3,0,0,0,0,0,0,0,0,0,0,0,0,6,2,37,4
799,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,37,6
800,4,5,0,0,0,0,0,0,0,0,0,0,0,0,5,2,36,11
801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,36,11
802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,36,11
803,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,37,11
804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,37,9
805,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,38,11
806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,40,13
807,9,9,0,0,0,0,0,0,2,0,0,0,0,0,9,2,21,0
808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,40,13
809,4,4,0,0,0,0,0,0,0,0,0,0,0,0,9,2,20,0
810,3,4,0,0,0,0,0,0,0,0,0,0,0,0,9,2,21,9
811,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,40,13
812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,40,8
813,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,2,40,9
814,1,1,2,3,2,4,0,0,2,0,1,3,6,0,6,6,58,8
815,0,0,3,2,8,8,0,0,6,0,7,2,6,0,0,6,5,1
816,2,1,1,3,4,8,0,0,2,0,6,8,6,0,3,6,36,13
817,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,54,0
818,1,1,2,2,2,2,0,0,4,0,2,2,6,0,5,6,40,8
819,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,6,43,7
820,1,0,1,2,3,8,0,0,2,0,3,7,6,0,4,6,5,10
821,8,8,3,6,2,2,0,0,4,0,6,3,4,0,5,0,58,7
822,1,2,2,3,3,5,0,0,4,0,2,6,6,0,4,0,5,14
823,4,3,3,3,4,5,0,0,5,0,5,3,7,0,4,0,5,14
824,0,0,4,4,8,8,0,0,5,0,1,8,7,0,1,0,50,14
825,0,0,3,2,5,8,0,0,3,0,2,6,6,0,0,0,52,8
826,6,6,3,3,3,3,0,0,6,0,7,5,7,0,0,0,62,14
827,6,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,6
828,1,1,2,3,4,7,0,0,4,0,3,5,6,0,2,0,16,14
829,6,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,6
830,1,1,2,2,3,6,0,0,4,0,4,4,6,0,2,0,9,8
831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,21,8
832,9,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,21,0
833,1,1,3,1,4,4,0,0,7,0,7,5,5,0,0,0,9,13
834,7,9,1,2,1,1,0,0,2,0,1,1,6,0,9,0,3,4
835,8,6,3,6,3,6,0,0,4,0,7,4,3,0,0,0,9,5
836,4,3,4,2,2,2,0,0,5,0,5,4,6,0,1,0,62,12
837,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2
838,7,7,2,2,2,3,0,0,2,0,8,2,6,0,2,0,43,12
839,1,1,2,3,5,8,0,0,3,0,3,6,7,0,4,0,7,10
840,2,1,2,4,4,7,0,0,2,0,2,7,8,0,2,0,47,5
841,4,4,2,3,4,7,0,0,4,0,7,6,6,0,4,0,47,5
842,9,9,6,8,4,5,2,4,3,0,8,3,1,3,9,0,16,4
843,7,7,3,4,2,4,0,0,4,0,7,5,8,0,5,0,25,19
844,1,1,2,4,4,6,0,0,4,0,2,7,7,0,7,5,47,1
845,3,3,6,2,5,7,1,4,7,0,8,7,6,3,8,5,47,6
846,3,3,2,4,3,7,0,0,3,0,4,8,8,0,5,5,50,1
847,3,2,3,6,3,5,0,0,3,0,1,6,5,0,5,5,62,1
848,2,2,3,3,2,3,0,0,5,0,2,4,6,0,5,5,58,1
849,5,5,3,5,3,6,0,0,4,0,5,5,3,0,5,5,50,8
850,5,5,3,5,3,4,0,0,5,0,2,7,8,0,4,5,58,1
851,1,1,7,1,7,4,1,5,9,0,7,5,5,3,3,5,58,0
852,4,5,3,4,3,6,0,0,4,0,5,6,8,0,6,5,5,14
853,5,5,2,4,3,5,0,0,3,0,6,6,8,0,6,5,46,8
854,6,6,6,5,4,4,1,4,6,0,6,5,4,3,4,5,23,1
855,6,6,2,7,3,5,0,0,3,0,3,5,4,0,7,5,46,1
856,2,1,2,2,2,2,0,0,4,0,3,3,6,0,4,5,5,8
857,6,6,3,5,3,5,0,0,4,0,5,6,8,0,4,5,43,8
858,4,4,3,5,4,6,0,0,5,0,3,6,8,0,3,5,58,8
859,4,4,3,6,4,5,0,0,6,0,2,6,5,0,3,5,58,1
860,3,3,8,4,4,7,1,5,7,0,5,7,2,0,3,5,58,1
861,4,3,3,6,4,4,0,0,5,0,1,5,8,0,5,5,24,8
862,3,3,3,4,3,6,0,0,3,0,3,7,8,0,4,5,23,14
863,1,1,3,3,5,7,0,0,5,0,4,8,6,0,3,5,58,8
864,2,1,2,3,2,5,0,0,2,0,3,5,6,0,3,5,58,8
865,4,5,6,4,6,6,3,4,8,0,5,6,8,3,6,5,24,1
866,1,1,1,2,2,4,0,0,2,0,4,5,6,0,2,5,62,8
867,4,3,2,5,2,4,0,0,3,0,2,5,8,0,2,5,62,8
868,1,1,2,2,2,4,0,0,4,0,2,5,6,0,2,5,62,8
869,5,5,4,8,3,4,0,0,4,0,1,6,4,0,3,5,13,14
870,7,6,7,8,5,7,3,4,5,3,1,7,2,0,2,5,43,14
871,3,4,3,2,5,8,0,0,5,0,8,8,6,0,1,5,43,7
872,7,6,3,6,4,5,0,0,5,0,6,7,5,0,1,5,23,7
873,9,9,8,8,4,3,5,5,7,4,5,5,2,2,2,5,23,14
874,2,2,2,3,3,6,0,0,3,0,4,7,6,0,2,5,13,14
875,5,5,3,4,4,6,0,0,4,0,6,7,8,0,3,5,5,14
876,1,2,2,1,4,6,0,0,4,0,8,7,5,0,2,5,13,14
877,1,0,2,2,5,7,0,0,4,0,4,8,6,0,1,5,13,14
878,1,1,2,2,3,6,0,0,4,0,2,6,6,0,2,5,13,14
879,0,0,2,1,3,5,0,0,4,0,3,5,5,0,1,5,13,14
880,4,3,2,5,4,6,0,0,4,0,4,7,5,0,0,5,45,7
881,3,3,2,3,5,8,0,0,3,0,7,8,6,0,4,5,43,7
882,5,4,5,5,3,5,1,2,5,0,5,5,3,0,1,5,13,14
883,3,4,3,4,5,7,0,0,6,0,5,5,8,0,1,5,13,14
884,6,6,3,8,4,7,0,0,4,0,2,7,4,0,0,5,7,14
885,1,0,2,2,5,8,0,0,3,0,6,8,6,0,0,5,62,8
886,0,0,3,1,7,8,0,0,7,0,5,8,5,0,1,5,62,8
887,7,7,3,5,3,3,0,0,5,0,6,5,4,0,0,5,24,7
888,2,3,2,2,4,7,0,0,4,0,5,7,6,0,0,5,7,7
889,1,1,3,3,5,8,0,0,5,0,5,6,6,0,0,5,62,14
890,4,4,3,4,3,4,0,0,6,0,2,6,8,0,0,5,58,14
891,4,3,2,6,5,8,0,0,4,0,3,8,8,0,1,5,62,14
892,7,7,2,7,2,4,0,0,3,0,2,5,4,0,2,5,43,14
893,1,2,3,2,5,6,0,0,6,0,6,7,6,0,0,5,58,14
894,1,1,3,1,5,6,0,0,7,0,7,7,5,0,0,5,58,14
895,0,0,6,1,7,7,1,4,9,0,5,8,5,3,0,5,58,7
896,3,3,3,6,4,7,0,0,4,0,2,7,8,0,3,5,43,7
897,1,1,6,3,7,8,2,4,7,0,3,6,7,3,0,5,58,7
898,0,0,2,1,3,4,0,0,4,0,3,5,5,0,1,5,62,14
899,1,1,4,2,5,6,0,0,7,0,5,7,6,0,0,5,58,14
900,1,1,3,2,6,7,0,0,6,0,4,5,6,0,2,5,9,14
901,2,1,8,3,6,7,1,5,8,0,4,7,7,3,2,5,16,14
902,6,6,3,4,4,4,0,0,6,0,6,6,8,0,0,5,23,13
903,3,2,4,4,3,5,1,2,6,0,2,6,4,0,1,5,29,14
904,1,1,2,4,4,7,0,0,4,0,2,8,7,0,3,5,9,7
905,1,1,2,1,3,6,0,0,4,0,6,7,5,0,2,5,9,8
906,9,9,8,7,4,3,4,5,8,4,7,5,4,2,1,5,23,12
907,4,4,3,3,4,4,0,0,6,0,5,5,7,0,0,5,58,14
908,5,4,2,5,4,7,0,0,4,0,5,8,8,0,0,5,43,7
909,1,1,2,3,3,6,0,0,3,0,2,6,7,0,2,5,26,14
910,6,6,2,5,3,4,0,0,3,0,6,7,4,0,0,5,23,11
911,5,5,3,3,3,4,0,0,6,0,7,6,7,0,0,5,58,14
912,7,7,6,5,3,2,3,4,8,0,6,4,8,3,0,5,23,5
913,3,3,2,4,4,6,0,0,4,0,3,6,8,0,0,5,23,3
914,3,2,2,3,4,7,0,0,4,0,6,7,7,0,2,5,26,12
915,6,8,3,8,4,7,0,0,4,0,2,7,5,0,0,5,5,5
916,4,4,2,5,5,8,0,0,4,0,5,8,8,0,1,5,23,12
917,7,7,6,6,5,5,2,4,6,0,7,8,5,2,0,5,9,12
918,5,4,2,3,3,5,0,0,3,0,7,7,4,0,1,5,29,14
919,5,5,2,6,4,6,0,0,4,0,4,6,4,0,0,5,23,5
920,6,5,7,4,4,6,1,5,5,0,7,7,8,3,2,5,29,5
921,4,4,2,3,4,7,0,0,4,0,7,7,7,0,2,5,13,14
922,5,5,2,6,4,7,0,0,3,0,5,6,5,0,3,5,13,5
923,7,7,8,8,3,5,4,5,7,4,3,4,2,2,1,5,45,7
924,4,3,2,4,5,8,0,0,4,0,7,8,7,0,3,5,15,13
925,6,6,6,4,5,4,1,4,5,0,7,4,8,3,2,5,45,5
926,6,6,8,5,3,2,2,5,7,4,2,2,5,3,4,5,8,12
927,5,5,6,3,8,8,3,4,9,0,8,7,6,3,8,5,0,0
928,8,8,6,7,3,5,1,4,4,0,6,2,2,3,3,5,9,21
929,5,5,8,6,4,4,2,5,6,1,2,4,5,3,4,5,58,21
930,5,5,2,5,3,5,0,0,4,0,4,5,5,0,4,5,43,23
931,2,1,5,2,6,8,1,3,6,0,7,8,6,3,7,1,43,7
932,1,1,2,2,4,7,0,0,3,0,4,8,6,0,7,1,61,0
933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,41,11
934,7,7,3,6,3,5,0,0,4,0,6,3,3,0,5,1,5,7
935,9,9,7,7,2,2,2,5,4,0,7,2,2,1,5,1,39,5
936,9,9,6,4,1,2,1,4,5,0,7,2,3,0,6,1,37,4
937,4,4,6,2,5,2,2,4,9,1,6,3,6,3,4,1,23,14
938,0,0,3,3,7,8,0,0,5,0,4,8,6,0,1,1,13,14
939,0,0,4,2,6,7,0,0,6,0,3,8,6,0,2,1,13,14
940,1,1,3,1,6,7,0,0,7,0,7,7,5,0,1,1,24,7
941,1,1,2,3,5,7,0,0,4,0,2,8,6,0,2,1,13,14
942,7,7,2,1,1,1,0,0,4,0,4,1,5,0,5,1,3,4
943,1,1,2,2,2,3,0,0,4,0,2,1,6,0,2,1,23,14
944,9,8,7,6,5,4,3,5,7,3,8,4,2,3,2,1,37,11
945,7,6,2,1,2,4,0,0,4,0,8,3,5,0,5,1,3,4
946,1,0,2,1,5,8,0,0,4,0,8,8,5,0,0,1,58,1
947,7,7,1,1,1,1,0,0,2,0,4,1,5,0,2,1,38,11
948,9,8,6,3,2,2,1,4,6,0,8,2,4,3,7,1,10,4
949,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,14
950,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,14
951,8,9,2,1,1,1,0,0,4,0,2,1,5,0,6,1,40,4
952,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,14
953,6,6,3,5,4,6,0,0,5,0,8,5,8,0,1,1,7,7
954,9,9,6,6,2,2,1,4,3,0,8,3,2,3,4,1,40,12
955,6,6,2,3,2,4,0,0,2,0,8,3,6,0,3,1,15,10
956,6,5,2,4,3,6,0,0,4,0,7,6,8,0,2,1,5,12
957,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,4
958,5,4,2,4,3,4,0,0,4,0,6,4,4,0,2,1,43,12
959,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,10
960,6,5,1,1,1,1,0,0,2,0,1,1,5,0,1,1,7,5
961,5,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1,8,14
962,2,1,1,3,1,2,0,0,2,0,1,3,6,0,3,1,26,3
963,9,9,6,7,3,3,2,4,3,0,6,3,3,1,7,1,49,2
964,1,1,6,1,7,5,1,4,9,0,7,5,5,3,4,1,61,23
965,1,1,2,2,2,4,0,0,4,0,2,5,6,0,5,1,58,22
966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,41,2
967,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,23,5
968,3,3,0,0,0,0,0,0,3,0,0,0,0,0,7,3,46,8
969,2,4,0,0,0,0,0,0,2,0,0,0,0,0,7,3,46,8
970,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,3,56,0
971,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,14
972,3,8,0,0,0,0,0,0,9,0,0,0,0,0,7,3,43,7
973,2,1,0,0,0,0,0,0,7,0,0,0,0,0,5,3,5,14
974,1,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,58,1
975,1,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,58,1
976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,58,1
977,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,58,8
978,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,23,14
979,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,58,8
980,9,9,0,0,0,0,0,0,2,0,0,0,0,0,9,3,37,6
981,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,43,7
982,0,4,0,0,0,0,0,0,4,0,0,0,0,0,1,3,58,7
983,5,7,0,0,0,0,0,0,2,0,0,0,0,0,3,3,5,12
984,5,6,0,0,0,0,0,0,9,0,0,0,0,0,5,3,5,5
985,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,43,13
986,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,45,7
987,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,2
988,2,5,0,0,0,0,0,0,4,0,0,0,0,0,3,3,43,5
989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,62,14
990,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,37,11
991,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,42,11
992,5,8,0,0,0,0,0,0,0,0,0,0,0,0,1,3,43,12
993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,58,9
994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,58,9
995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,58,9
996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,58,9
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,58,9
998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,58,9
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,58,9
1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,58,9
1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,58,10
1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,58,10
1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,58,10
1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,58,10
1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,58,10
1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,58,10
1007,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,11
1008,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,61,12
1009,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,3,43,5
1010,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,5
1011,2,7,0,0,0,0,0,0,4,0,0,0,0,0,3,3,9,5
1012,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,5
1013,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,11
1014,9,9,0,0,0,0,0,0,2,0,0,0,0,0,8,3,3,6
1015,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,11
1016,3,9,0,0,0,0,0,0,4,0,0,0,0,0,0,3,9,5
1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6
1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,43,7
1019,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,45,7
1020,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,7
1021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,42,9
1022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,5
1023,1,1,0,0,0,0,0,0,2,0,0,0,0,0,7,3,42,8
1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4
1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4
1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4
1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4
1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4
1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4
1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4
1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4
1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,4
1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,4
1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,2
1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,2
1036,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,47,12
1037,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,3,49,8
1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,2
1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0
1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0
1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0
1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0
1043,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,11,5
1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0
1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0
1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0
1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0
1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0
1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0
1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0
1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0
1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0
1053,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,3,49,0
1054,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,47,21
1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,47,23
1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,47,23
1057,2,8,0,0,0,0,0,0,4,0,0,0,0,0,5,3,8,21
1058,1,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,23
1059,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,43,22
1060,6,7,0,0,0,0,0,0,6,0,0,0,0,0,5,3,9,23
